line,z,x1,y1,z1,x2,y2,z2,e1,e2,delta_e,xy_distance,xyz_distance
25,0.35,42.915,36.253,0.35,44.668,34.774,0.35,2.0,2.63866,0.6386599999999998,2.2935670907998307,2.2935670907998307
26,0.35,44.668,34.774,0.35,46.82,33.981,0.35,2.63866,3.27732,0.6386600000000002,2.29345874172613,2.29345874172613
27,0.35,46.82,33.981,0.35,48.0,33.875,0.35,3.27732,3.60718,0.32986000000000004,1.1847514507271133,1.1847514507271133
28,0.35,48.0,33.875,0.35,78.0,33.875,0.35,3.60718,11.96134,8.35416,30.0,30.0
29,0.35,78.0,33.875,0.35,80.259,34.272,0.35,11.96134,12.6,0.6386599999999998,2.293619410451525,2.293619410451525
30,0.35,80.259,34.272,0.35,82.247,35.415,0.35,12.6,13.23866,0.6386599999999998,2.2931622271439935,2.293162227143993
31,0.35,82.247,35.415,0.35,83.726,37.168,0.35,13.23866,13.87732,0.6386599999999998,2.2935670907998307,2.2935670907998307
32,0.35,83.726,37.168,0.35,84.519,39.32,0.35,13.87732,14.51598,0.6386600000000016,2.2934587417261323,2.2934587417261323
33,0.35,84.519,39.32,0.35,84.625,40.5,0.35,14.51598,14.84584,0.32986000000000004,1.1847514507271126,1.1847514507271129
34,0.35,84.625,40.5,0.35,84.625,70.5,0.35,14.84584,23.19999,8.354149999999999,30.0,30.0
35,0.35,84.625,70.5,0.35,84.228,72.759,0.35,23.19999,23.83866,0.6386700000000012,2.293619410451526,2.293619410451526
36,0.35,84.228,72.759,0.35,83.085,74.747,0.35,23.83866,24.47732,0.638659999999998,2.2931622271439935,2.293162227143993
37,0.35,83.085,74.747,0.35,81.332,76.226,0.35,24.47732,25.11598,0.6386600000000016,2.2935670907998307,2.2935670907998307
38,0.35,81.332,76.226,0.35,79.18,77.019,0.35,25.11598,25.75464,0.638659999999998,2.293458741726119,2.293458741726119
39,0.35,79.18,77.019,0.35,78.0,77.125,0.35,25.75464,26.0845,0.32986000000000004,1.1847514507271197,1.1847514507271197
