z,xmin,xmax,ymin,ymax,half_centerline,half_surface,filament,path,square_path_expected
0.35,41.375,84.625,33.875,77.125,21.625,21.875,456.47474000000005,1619.8823848256343,173.0
0.45,48.25,77.75,40.75,70.25,14.75,15.0,117.5751,1159.951990517117,118.0
0.55,48.25,77.75,40.75,70.25,14.75,15.0,117.57510000000002,1159.951990517117,118.0
0.65,48.25,77.75,40.75,70.25,14.75,15.0,117.5751,1159.951990517117,118.0
0.75,48.25,77.75,40.75,70.25,14.75,15.0,117.57510000000002,1159.951990517117,118.0
0.85,48.25,77.75,40.75,70.25,14.75,15.0,117.5751,1159.951990517117,118.0
0.95,48.25,77.75,40.75,70.25,14.75,15.0,117.57510000000002,1159.951990517117,118.0
1.05,48.25,77.75,40.75,70.25,14.75,15.0,117.5751,1159.951990517117,118.0
1.15,48.25,77.75,40.75,70.25,14.75,15.0,117.57510000000002,1159.951990517117,118.0
1.25,48.25,77.75,40.75,70.25,14.75,15.0,117.5751,1159.951990517117,118.0
1.35,48.25,77.75,40.75,70.25,14.75,15.0,7.1851199999999995,117.925,118.0
1.45,48.25,77.75,40.75,70.25,14.75,15.0,7.1851199999999995,117.925,118.0
1.55,48.25,77.75,40.75,70.25,14.75,15.0,7.185120000000001,117.925,118.0
1.65,48.25,77.75,40.75,70.25,14.75,15.0,7.185130000000001,117.925,118.0
1.75,48.25,77.75,40.75,70.25,14.75,15.0,7.185119999999998,117.925,118.0
1.85,48.25,77.75,40.75,70.25,14.75,15.0,7.185119999999998,117.925,118.0
1.95,48.25,77.75,40.75,70.25,14.75,15.0,7.185120000000005,117.925,118.0
2.05,48.25,77.75,40.75,70.25,14.75,15.0,7.185119999999998,117.925,118.0
2.15,48.25,77.75,40.75,70.25,14.75,15.0,7.185119999999998,117.925,118.0
2.25,48.25,77.75,40.75,70.25,14.75,15.0,7.185119999999998,117.925,118.0
2.35,48.25,77.75,40.75,70.25,14.75,15.0,7.185120000000012,117.925,118.0
2.45,48.25,77.75,40.75,70.25,14.75,15.0,7.185129999999987,117.925,118.0
2.55,48.25,77.75,40.75,70.25,14.75,15.0,7.35941,120.78634494840168,118.0
2.65,48.25,77.75,40.75,70.25,14.75,15.0,7.382629999999999,121.16692673095163,118.0
2.75,48.25,77.75,40.75,70.25,14.75,15.0,7.38931,121.27706183352853,118.0
2.85,48.25,77.75,40.75,70.25,14.75,15.0,7.382629999999999,121.16692673095163,118.0
2.95,48.25,77.75,40.75,70.25,14.75,15.0,7.35942,120.78564588965283,118.0
3.05,48.25,77.75,40.75,70.25,14.75,15.0,7.1851199999999995,117.925,118.0
3.15,48.25,77.75,40.75,70.25,14.75,15.0,7.898479999999999,129.63522594949677,118.0
3.25,48.25,77.75,40.75,70.25,14.75,15.0,7.979399999999999,130.9619997317052,118.0
3.35,48.25,77.75,40.75,70.25,14.75,15.0,7.98778,131.10233569128684,118.0
3.45,48.25,77.75,40.75,70.25,14.75,15.0,7.979399999999999,130.96250193203576,118.0
3.55,48.25,77.75,40.75,70.25,14.75,15.0,7.89694,129.61232238709883,118.0
3.65,48.25,77.75,40.75,70.25,14.75,15.0,7.302269999999999,119.03445101940113,118.0
3.75,48.25,77.75,40.75,70.25,14.75,15.0,7.998219999999999,131.27191587027522,118.0
3.85,48.25,77.75,40.75,70.25,14.75,15.0,8.09024,132.78033926073317,118.0
3.95,48.25,77.75,40.75,70.25,14.75,15.0,8.116900000000001,133.2208134455126,118.0
4.05,48.25,77.75,40.75,70.25,14.75,15.0,8.09024,132.78033926073317,118.0
4.15,48.873,77.127,41.373,69.627,14.126999999999999,14.376999999999999,7.6949,126.29758349127397,113.01599999999999
4.25,49.121,76.879,41.621,69.379,13.879000000000001,14.129000000000001,6.7605900000000005,110.957,111.03200000000001
4.35,49.303,76.697,41.803,69.197,13.697000000000003,13.947000000000003,7.89193,129.53067168755868,109.57600000000002
4.45,49.449,76.551,41.95,69.051,13.55075,13.80075,7.982939999999999,131.02155227511116,108.406
4.55,49.572,76.428,42.073,68.928,13.427749999999998,13.677749999999998,7.96989,130.80943287198892,107.42199999999998
4.65,49.678,76.322,42.178,68.822,13.322000000000003,13.572000000000003,7.87168,129.19355223816098,106.57600000000002
4.75,49.769,76.231,42.27,68.731,13.230749999999997,13.480749999999997,7.664600000000001,125.80154982110858,105.84599999999998
4.85,49.85,76.15,42.35,68.65,13.150000000000002,13.400000000000002,6.405329999999999,105.12500000000001,105.20000000000002
4.95,49.92,76.08,42.42,68.58,13.079999999999998,13.329999999999998,7.59108,124.59475078772911,104.63999999999999
5.05,49.982,76.018,42.482,68.518,13.018,13.268,7.723909999999998,126.76801659146076,104.144
5.15,50.036,75.964,42.536,68.464,12.963999999999999,13.213999999999999,7.74487,127.11560433294653,103.71199999999999
5.25,50.083,75.917,42.583,68.417,12.917000000000002,13.167000000000002,7.674239999999998,125.95145699863667,103.33600000000001
5.35,50.123,75.877,42.623,68.377,12.876999999999999,13.126999999999999,7.49246,122.97627975619986,103.01599999999999
5.45,50.158,75.842,42.658,68.342,12.841999999999999,13.091999999999999,6.25516,102.661,102.73599999999999
5.55,50.186,75.814,42.686,68.314,12.813999999999997,13.063999999999997,6.24127,102.43699999999998,102.51199999999997
5.65,50.209,75.791,42.709,68.29,12.79075,13.04075,6.229990000000001,102.24900003914898,102.326
5.75,50.227,75.773,42.727,68.273,12.773,13.023,6.22129,102.10900000000001,102.184
5.85,50.24,75.76,42.74,68.26,12.760000000000002,13.010000000000002,6.21519,102.00500000000001,102.08000000000001
5.95,50.247,75.753,42.747,68.253,12.753,13.003,6.211509999999997,101.949,102.024
6.05,50.25,75.75,42.75,68.25,12.75,13.0,6.210250000000002,101.925,102.0
6.15,50.247,75.753,42.747,68.253,12.753,13.003,6.385800000000001,104.80977041659672,102.024
6.25,50.24,75.76,42.74,68.26,12.760000000000002,13.010000000000002,8.24573,135.32787963046928,102.08000000000001
6.35,50.227,75.773,42.727,68.273,12.773,13.023,8.575,140.74013096601058,102.184
6.45,50.209,75.791,42.709,68.29,12.79075,13.04075,8.67913,142.43751244394272,102.326
6.55,50.186,75.814,42.686,68.314,12.813999999999997,13.063999999999997,8.634039999999999,141.71190761804667,102.51199999999997
6.65,50.158,75.842,42.658,68.342,12.841999999999999,13.091999999999999,8.24611,135.3368815442983,102.73599999999999
6.75,50.123,75.877,42.623,68.377,12.876999999999999,13.126999999999999,8.16531,133.19756417442434,103.01599999999999
6.85,50.083,75.917,42.583,68.417,12.917000000000002,13.167000000000002,7.9627099999999995,129.91781909319874,103.33600000000001
6.95,50.036,75.964,42.536,68.464,12.963999999999999,13.213999999999999,8.09943,132.929532118656,103.71199999999999
7.05,49.982,76.018,42.482,68.518,13.018,13.268,8.16356,133.9781000599143,104.144
7.15,49.92,76.08,42.42,68.58,13.079999999999998,13.329999999999998,8.11957,133.2667247230459,104.63999999999999
7.25,49.85,76.15,42.35,68.65,13.150000000000002,13.400000000000002,7.670639999999999,125.89299486989435,105.20000000000002
7.35,49.769,76.231,42.27,68.731,13.230749999999997,13.480749999999997,9.201630000000002,150.6552752294711,105.84599999999998
7.45,49.678,76.322,42.178,68.822,13.322000000000003,13.572000000000003,8.73519,143.36816394909863,106.57600000000002
7.55,49.572,76.428,42.073,68.928,13.427749999999998,13.677749999999998,8.966940000000001,147.17332286394063,107.42199999999998
7.65,49.449,76.551,41.95,69.051,13.55075,13.80075,9.034699999999999,148.28415228250358,108.406
7.75,49.303,76.697,41.803,69.197,13.697000000000003,13.947000000000003,9.01812,148.00234752122384,109.57600000000002
7.85,49.121,76.879,41.621,69.379,13.879000000000001,14.129000000000001,8.545100000000001,139.86369689569952,111.03200000000001
7.95,48.873,77.127,41.373,69.627,14.126999999999999,14.376999999999999,8.872559999999998,145.2348155406872,113.01599999999999
8.05,48.25,77.75,40.75,70.25,14.75,15.0,31.92516,158.03887182381385,118.0
8.15,48.25,77.75,40.75,70.25,14.75,15.0,9.827430000000001,161.29862346350495,118.0
8.25,48.25,77.75,40.75,70.25,14.75,15.0,9.83355,161.39103106631285,118.0
8.35,48.25,77.75,40.75,70.25,14.75,15.0,9.714119999999998,159.42712776944956,118.0
8.45,48.25,77.75,40.75,70.25,14.75,15.0,9.13111,149.47749921655472,118.0
8.55,48.25,77.75,40.75,70.25,14.75,15.0,9.04025,147.96411332277705,118.0
8.65,48.25,77.75,40.75,70.25,14.75,15.0,9.430399999999999,154.77687148193752,118.0
8.75,48.25,77.75,40.75,70.25,14.75,15.0,9.60934,157.71803812993562,118.0
8.85,48.25,77.75,40.75,70.25,14.75,15.0,9.617929999999998,157.85411965860834,118.0
8.95,48.25,77.75,40.75,70.25,14.75,15.0,9.45691,155.19947638415147,118.0
9.05,48.25,77.75,40.75,70.25,14.75,15.0,8.914660000000001,146.3112252528794,118.0
9.15,48.25,77.75,40.75,70.25,14.75,15.0,8.88793,145.8710369099827,118.0
9.25,48.25,77.75,40.75,70.25,14.75,15.0,9.29614,152.57416277172564,118.0
9.35,48.25,77.75,40.75,70.25,14.75,15.0,9.40737,154.40391377572556,118.0
9.45,48.25,77.75,40.75,70.25,14.75,15.0,9.40538,154.36467151100703,118.0
9.55,48.25,77.75,40.75,70.25,14.75,15.0,9.24155,151.67138874866535,118.0
9.65,48.25,77.75,40.75,70.25,14.75,15.0,8.44297,138.56975539926344,118.0
9.75,48.25,77.75,40.75,70.25,14.75,15.0,9.917769999999999,162.7834862329563,118.0
9.85,48.25,77.75,40.75,70.25,14.75,15.0,10.265909999999998,168.4890330040098,118.0
9.95,48.25,77.75,40.75,70.25,14.75,15.0,10.365,170.12429517670853,118.0
10.05,48.25,77.75,40.75,70.25,14.75,15.0,10.26583,168.48848493388135,118.0
10.15,48.25,77.75,40.75,70.25,14.75,15.0,9.93278,163.03279045921397,118.0
10.25,48.25,77.75,40.75,70.25,14.75,15.0,7.1851199999999995,117.925,118.0
10.35,48.25,77.75,40.75,70.25,14.75,15.0,8.928090000000001,146.53881499054813,118.0
10.45,48.25,77.75,40.75,70.25,14.75,15.0,9.162519999999999,150.38053182918708,118.0
10.55,48.25,77.75,40.75,70.25,14.75,15.0,9.23672,151.60402853592421,118.0
10.65,48.25,77.75,40.75,70.25,14.75,15.0,9.181159999999998,150.6860058939858,118.0
10.75,48.25,77.75,40.75,70.25,14.75,15.0,8.928090000000001,146.53952372890313,118.0
10.85,48.25,77.75,40.75,70.25,14.75,15.0,7.1851199999999995,117.925,118.0
10.95,48.25,77.75,40.75,70.25,14.75,15.0,9.974300000000001,163.714389157918,118.0
11.05,48.25,77.75,40.75,70.25,14.75,15.0,10.34559,169.79680523131873,118.0
11.15,48.25,77.75,40.75,70.25,14.75,15.0,10.452160000000001,171.55798933645661,118.0
11.25,48.25,77.75,40.75,70.25,14.75,15.0,10.34587,169.80178870757538,118.0
11.35,48.25,77.75,40.75,70.25,14.75,15.0,9.973919999999998,163.710914007378,118.0
11.45,48.25,77.75,40.75,70.25,14.75,15.0,7.1851199999999995,117.925,118.0
11.55,48.25,77.75,40.75,70.25,14.75,15.0,9.279250000000001,152.30440424505957,118.0
11.65,48.25,77.75,40.75,70.25,14.75,15.0,9.557249999999998,156.8568217822439,118.0
11.75,48.25,77.75,40.75,70.25,14.75,15.0,9.637640000000001,158.18501057974674,118.0
11.85,48.25,77.75,40.75,70.25,14.75,15.0,9.55744,156.8586955092107,118.0
11.95,48.25,77.75,40.75,70.25,14.75,15.0,9.27758,152.2730514678202,118.0
12.05,48.25,77.75,40.75,70.25,14.75,15.0,7.1851199999999995,117.925,118.0
12.15,48.341,77.659,40.841,70.159,14.659000000000002,14.909000000000002,10.634689999999999,174.55519235629703,117.27200000000002
12.25,48.432,77.568,40.932,70.068,14.567999999999998,14.817999999999998,11.073259999999998,181.74033917338707,116.54399999999998
12.35,48.523,77.477,41.023,69.977,14.477,14.727,11.150289999999998,183.01884526818077,115.816
12.45,48.614,77.386,41.114,69.886,14.386,14.636,10.98405,180.27899297303114,115.088
12.55,48.705,77.295,41.205,69.795,14.295000000000002,14.545000000000002,10.45719,171.64428755949933,114.36000000000001
12.65,48.796,77.204,41.296,69.704,14.203999999999997,14.453999999999997,6.918809999999999,113.55699999999999,113.63199999999998
12.75,48.887,77.113,41.387,69.613,14.113,14.363,8.799700000000001,144.43502724492174,112.904
12.85,48.978,77.022,41.478,69.522,14.022000000000002,14.272000000000002,9.005109999999998,147.80109999201585,112.17600000000002
12.95,49.07,76.93,41.57,69.43,13.930000000000003,14.180000000000003,9.024710000000002,148.12247171387486,111.44000000000003
13.05,49.161,76.839,41.661,69.339,13.838999999999999,14.088999999999999,8.914349999999999,146.30144329431613,110.71199999999999
13.15,49.252,76.748,41.752,69.248,13.748000000000001,13.998000000000001,8.62143,141.50588596209218,109.98400000000001
13.25,49.343,76.657,41.843,69.157,13.656999999999996,13.906999999999996,6.652480000000001,109.18099999999998,109.25599999999997
