z,xmin,xmax,ymin,ymax,center_x,center_y,half_width_x,half_width_y,half_width
0.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
0.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
0.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
0.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
0.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
0.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.15,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.25,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.35,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
1.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.15,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.25,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.35,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
2.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.15,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.25,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.35,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
3.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
4.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
4.15,48.873,77.127,41.373,69.627,63.0,55.5,14.126999999999999,14.126999999999999,14.376999999999999
4.25,49.121,76.879,41.621,69.379,63.0,55.5,13.879000000000001,13.879000000000001,14.129000000000001
4.35,49.303,76.697,41.803,69.197,63.0,55.5,13.697000000000003,13.697000000000003,13.947000000000003
4.45,49.449,76.551,41.95,69.051,63.0,55.5005,13.551000000000002,13.5505,13.80075
4.55,49.572,76.428,42.073,68.928,63.0,55.5005,13.427999999999997,13.427499999999998,13.677749999999998
4.65,49.678,76.322,42.178,68.822,63.0,55.5,13.322000000000003,13.322000000000003,13.572000000000003
4.75,49.769,76.231,42.27,68.731,63.0,55.5005,13.230999999999998,13.230499999999996,13.480749999999997
4.85,49.85,76.15,42.35,68.65,63.0,55.5,13.150000000000002,13.150000000000002,13.400000000000002
4.95,49.92,76.08,42.42,68.58,63.0,55.5,13.079999999999998,13.079999999999998,13.329999999999998
5.05,49.982,76.018,42.482,68.518,63.0,55.5,13.018,13.018,13.268
5.15,50.036,75.964,42.536,68.464,63.0,55.5,12.963999999999999,12.963999999999999,13.213999999999999
5.25,50.083,75.917,42.583,68.417,63.0,55.5,12.917000000000002,12.917000000000002,13.167000000000002
5.35,50.123,75.877,42.623,68.377,63.0,55.5,12.876999999999999,12.876999999999999,13.126999999999999
5.45,50.158,75.842,42.658,68.342,63.0,55.5,12.841999999999999,12.841999999999999,13.091999999999999
5.55,50.186,75.814,42.686,68.314,63.0,55.5,12.813999999999997,12.813999999999997,13.063999999999997
5.65,50.209,75.791,42.709,68.29,63.0,55.499500000000005,12.790999999999997,12.790500000000002,13.04075
5.75,50.227,75.773,42.727,68.273,63.0,55.5,12.773,12.773,13.023
5.85,50.24,75.76,42.74,68.26,63.0,55.5,12.760000000000002,12.760000000000002,13.010000000000002
5.95,50.247,75.753,42.747,68.253,63.0,55.5,12.753,12.753,13.003
6.05,50.25,75.75,42.75,68.25,63.0,55.5,12.75,12.75,13.0
6.15,50.247,75.753,42.747,68.253,63.0,55.5,12.753,12.753,13.003
6.25,50.24,75.76,42.74,68.26,63.0,55.5,12.760000000000002,12.760000000000002,13.010000000000002
6.35,50.227,75.773,42.727,68.273,63.0,55.5,12.773,12.773,13.023
6.45,50.209,75.791,42.709,68.29,63.0,55.499500000000005,12.790999999999997,12.790500000000002,13.04075
6.55,50.186,75.814,42.686,68.314,63.0,55.5,12.813999999999997,12.813999999999997,13.063999999999997
6.65,50.158,75.842,42.658,68.342,63.0,55.5,12.841999999999999,12.841999999999999,13.091999999999999
6.75,50.123,75.877,42.623,68.377,63.0,55.5,12.876999999999999,12.876999999999999,13.126999999999999
6.85,50.083,75.917,42.583,68.417,63.0,55.5,12.917000000000002,12.917000000000002,13.167000000000002
6.95,50.036,75.964,42.536,68.464,63.0,55.5,12.963999999999999,12.963999999999999,13.213999999999999
7.05,49.982,76.018,42.482,68.518,63.0,55.5,13.018,13.018,13.268
7.15,49.92,76.08,42.42,68.58,63.0,55.5,13.079999999999998,13.079999999999998,13.329999999999998
7.25,49.85,76.15,42.35,68.65,63.0,55.5,13.150000000000002,13.150000000000002,13.400000000000002
7.35,49.769,76.231,42.27,68.731,63.0,55.5005,13.230999999999998,13.230499999999996,13.480749999999997
7.45,49.678,76.322,42.178,68.822,63.0,55.5,13.322000000000003,13.322000000000003,13.572000000000003
7.55,49.572,76.428,42.073,68.928,63.0,55.5005,13.427999999999997,13.427499999999998,13.677749999999998
7.65,49.449,76.551,41.95,69.051,63.0,55.5005,13.551000000000002,13.5505,13.80075
7.75,49.303,76.697,41.803,69.197,63.0,55.5,13.697000000000003,13.697000000000003,13.947000000000003
7.85,49.121,76.879,41.621,69.379,63.0,55.5,13.879000000000001,13.879000000000001,14.129000000000001
7.95,48.873,77.127,41.373,69.627,63.0,55.5,14.126999999999999,14.126999999999999,14.376999999999999
8.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.15,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.25,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.35,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
8.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.15,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.25,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.35,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
9.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.15,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.25,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.35,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
10.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.15,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.25,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.35,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.45,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.55,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.65,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.75,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.85,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
11.95,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
12.05,48.25,77.75,40.75,70.25,63.0,55.5,14.75,14.75,15.0
12.15,48.341,77.659,40.841,70.159,63.0,55.5,14.659000000000002,14.659000000000002,14.909000000000002
12.25,48.432,77.568,40.932,70.068,63.0,55.5,14.567999999999998,14.567999999999998,14.817999999999998
12.35,48.523,77.477,41.023,69.977,63.0,55.5,14.477,14.477,14.727
12.45,48.614,77.386,41.114,69.886,63.0,55.5,14.386,14.386,14.636
12.55,48.705,77.295,41.205,69.795,63.0,55.5,14.295000000000002,14.295000000000002,14.545000000000002
12.65,48.796,77.204,41.296,69.704,63.0,55.5,14.203999999999997,14.203999999999997,14.453999999999997
12.75,48.887,77.113,41.387,69.613,63.0,55.5,14.113,14.113,14.363
12.85,48.978,77.022,41.478,69.522,63.0,55.5,14.022000000000002,14.022000000000002,14.272000000000002
12.95,49.07,76.93,41.57,69.43,63.0,55.5,13.930000000000003,13.930000000000003,14.180000000000003
13.05,49.161,76.839,41.661,69.339,63.0,55.5,13.838999999999999,13.838999999999999,14.088999999999999
13.15,49.252,76.748,41.752,69.248,63.0,55.5,13.748000000000001,13.748000000000001,13.998000000000001
13.25,49.343,76.657,41.843,69.157,63.0,55.5,13.656999999999996,13.656999999999996,13.906999999999996
13.35,49.433,76.567,41.933,69.067,63.0,55.5,13.566999999999997,13.566999999999997,13.816999999999997
13.45,49.517,76.483,42.017,68.983,63.0,55.5,13.483,13.483,13.733
13.55,49.601,76.399,42.101,68.899,63.0,55.5,13.399000000000001,13.399000000000001,13.649000000000001
13.65,49.684,76.316,42.184,68.816,63.0,55.5,13.316000000000003,13.316000000000003,13.566000000000003
13.75,49.768,76.232,42.268,68.732,63.0,55.5,13.232,13.232,13.482
13.85,49.851,76.149,42.351,68.649,63.0,55.5,13.149000000000001,13.149000000000001,13.399000000000001
13.95,49.935,76.065,42.435,68.565,63.0,55.5,13.064999999999998,13.064999999999998,13.314999999999998
14.05,50.019,75.981,42.519,68.481,63.0,55.5,12.980999999999998,12.980999999999998,13.230999999999998
14.15,50.102,75.898,42.602,68.398,63.0,55.5,12.898,12.898,13.148
14.25,50.186,75.814,42.686,68.314,63.0,55.5,12.813999999999997,12.813999999999997,13.063999999999997
14.35,50.27,75.73,42.77,68.23,63.0,55.5,12.73,12.73,12.98
14.45,50.353,75.647,42.853,68.147,63.0,55.5,12.647000000000002,12.647000000000002,12.897000000000002
14.55,50.437,75.563,42.937,68.063,63.0,55.5,12.563000000000002,12.563000000000002,12.813000000000002
14.65,50.521,75.479,43.021,67.979,63.0,55.5,12.479,12.479,12.729
14.75,50.6,75.4,43.1,67.9,63.0,55.5,12.400000000000002,12.400000000000002,12.650000000000002
14.85,50.676,75.324,43.176,67.824,63.0,55.5,12.323999999999998,12.323999999999998,12.573999999999998
14.95,50.753,75.247,43.253,67.747,63.0,55.5,12.247,12.247,12.497
15.05,50.83,75.17,43.33,67.67,63.0,55.5,12.170000000000002,12.170000000000002,12.420000000000002
