piece,z_mm,half_width_mm
Pawn,23.00373134,5.877403846
Pawn,23.08768657,5.841346154
Pawn,23.17164179,5.805288462
Pawn,23.25559701,5.769230769
Pawn,23.33955224,5.733173077
Pawn,23.42350746,5.697115385
Pawn,23.50746269,5.661057692
Pawn,23.59141791,5.661057692
Pawn,23.67537313,5.588942308
Pawn,23.75932836,5.588942308
Pawn,23.84328358,5.516826923
Pawn,23.92723881,5.516826923
Pawn,24.01119403,5.480769231
Pawn,24.09514925,5.444711538
Pawn,24.17910448,5.408653846
Pawn,24.2630597,5.372596154
Pawn,24.34701493,5.336538462
Pawn,24.43097015,5.300480769
Pawn,24.51492537,5.264423077
Pawn,24.5988806,5.228365385
Pawn,24.68283582,5.192307692
Pawn,24.76679104,5.15625
Pawn,24.85074627,5.120192308
Pawn,24.93470149,5.084134615
Pawn,25.01865672,5.084134615
Pawn,25.10261194,5.084134615
Pawn,25.18656716,5.048076923
Pawn,25.27052239,5.012019231
Pawn,25.35447761,5.012019231
Pawn,25.43843284,4.975961538
Pawn,25.52238806,4.939903846
Pawn,25.60634328,4.939903846
Pawn,25.69029851,4.903846154
Pawn,25.77425373,4.903846154
Pawn,25.85820896,4.867788462
Pawn,25.94216418,4.867788462
Pawn,26.0261194,4.831730769
Pawn,26.11007463,4.795673077
Pawn,26.19402985,4.795673077
Pawn,26.27798507,4.759615385
Pawn,26.3619403,4.759615385
Pawn,26.44589552,4.723557692
Pawn,26.52985075,4.723557692
Pawn,26.61380597,4.6875
Pawn,26.69776119,4.651442308
Pawn,26.78171642,4.651442308
Pawn,26.86567164,4.615384615
Pawn,26.94962687,4.615384615
Pawn,27.03358209,4.579326923
Pawn,27.11753731,4.579326923
Pawn,27.20149254,4.543269231
Pawn,27.28544776,4.507211538
Pawn,27.36940299,4.507211538
Pawn,27.45335821,4.471153846
Pawn,27.53731343,4.471153846
Pawn,27.62126866,4.435096154
Pawn,27.70522388,4.435096154
Pawn,27.7891791,4.399038462
Pawn,27.87313433,4.362980769
Pawn,27.95708955,4.362980769
Pawn,28.04104478,4.326923077
Pawn,28.125,4.290865385
Pawn,28.20895522,4.290865385
Pawn,28.29291045,4.290865385
Pawn,28.37686567,4.254807692
Pawn,28.4608209,4.21875
Pawn,28.54477612,4.21875
Pawn,28.62873134,4.182692308
Pawn,28.71268657,4.146634615
Pawn,28.79664179,4.146634615
Pawn,28.88059701,4.146634615
Pawn,28.96455224,4.110576923
Pawn,29.04850746,4.074519231
Pawn,29.13246269,4.074519231
Pawn,29.21641791,4.074519231
Pawn,29.30037313,4.074519231
Pawn,29.38432836,4.074519231
Pawn,29.46828358,4.038461538
Pawn,29.55223881,4.038461538
Pawn,29.63619403,4.038461538
Pawn,29.72014925,4.038461538
Pawn,29.80410448,4.002403846
Pawn,29.8880597,4.002403846
Pawn,29.97201493,4.002403846
Pawn,30.05597015,4.002403846
Pawn,30.13992537,4.002403846
Pawn,30.2238806,3.966346154
Pawn,30.30783582,3.966346154
Pawn,30.39179104,3.966346154
Pawn,30.47574627,3.966346154
Pawn,30.55970149,3.930288462
Pawn,30.64365672,3.930288462
Pawn,30.72761194,3.930288462
Pawn,30.81156716,3.930288462
Pawn,30.89552239,3.930288462
Pawn,30.97947761,3.894230769
Pawn,31.06343284,3.894230769
Pawn,31.14738806,3.894230769
Pawn,31.23134328,3.894230769
Pawn,31.31529851,3.858173077
Pawn,31.39925373,3.858173077
Pawn,31.48320896,3.858173077
Pawn,31.56716418,3.858173077
Pawn,31.6511194,3.858173077
Pawn,31.73507463,3.858173077
Pawn,31.81902985,3.822115385
Pawn,31.90298507,3.822115385
Pawn,31.9869403,3.822115385
Pawn,32.07089552,3.786057692
Pawn,32.15485075,3.786057692
Pawn,32.23880597,3.786057692
Pawn,32.32276119,3.786057692
Pawn,32.40671642,3.786057692
Pawn,32.49067164,3.786057692
Pawn,32.57462687,3.75
Pawn,32.65858209,3.75
Pawn,32.74253731,3.75
Pawn,32.82649254,3.713942308
Pawn,32.91044776,3.713942308
Pawn,32.99440299,3.713942308
Pawn,33.07835821,3.713942308
Pawn,33.16231343,3.713942308
Pawn,33.24626866,3.786057692
Pawn,33.33022388,3.930288462
Pawn,33.4141791,4.074519231
Pawn,33.49813433,4.21875
Pawn,33.58208955,4.362980769
Pawn,33.66604478,4.507211538
Pawn,33.75,4.651442308
Pawn,33.83395522,4.795673077
Pawn,33.91791045,4.939903846
Pawn,34.00186567,5.084134615
Pawn,34.0858209,5.192307692
Pawn,34.16977612,5.264423077
Pawn,34.25373134,5.372596154
Pawn,34.33768657,5.444711538
Pawn,34.42164179,5.552884615
Pawn,34.50559701,5.625
Pawn,34.58955224,5.733173077
Pawn,34.67350746,5.805288462
Pawn,34.75746269,5.877403846
Pawn,34.84141791,5.985576923
Pawn,34.92537313,6.057692308
Pawn,35.00932836,6.165865385
Pawn,35.09328358,6.237980769
Pawn,35.17723881,6.346153846
Pawn,35.26119403,6.382211538
Pawn,35.34514925,6.454326923
Pawn,35.42910448,6.526442308
Pawn,35.5130597,6.5625
Pawn,35.59701493,6.634615385
Pawn,35.68097015,6.706730769
Pawn,35.76492537,6.742788462
Pawn,35.8488806,6.814903846
Pawn,35.93283582,6.850961538
Pawn,36.01679104,6.887019231
Pawn,36.10074627,6.959134615
Pawn,36.18470149,6.995192308
Pawn,36.26865672,7.03125
Pawn,36.35261194,7.103365385
Pawn,36.43656716,7.139423077
Pawn,36.52052239,7.175480769
Pawn,36.60447761,7.211538462
Pawn,36.68843284,7.247596154
Pawn,36.77238806,7.247596154
Pawn,36.85634328,7.283653846
Pawn,36.94029851,7.319711538
Pawn,37.02425373,7.355769231
Pawn,37.10820896,7.391826923
Pawn,37.19216418,7.427884615
Pawn,37.2761194,7.427884615
Pawn,37.36007463,7.463942308
Pawn,37.44402985,7.463942308
Pawn,37.52798507,7.5
Pawn,37.6119403,7.536057692
Pawn,37.69589552,7.536057692
Pawn,37.77985075,7.536057692
Pawn,37.86380597,7.572115385
Pawn,37.94776119,7.608173077
Pawn,38.03171642,7.608173077
Pawn,38.11567164,7.608173077
Pawn,38.19962687,7.608173077
Pawn,38.28358209,7.608173077
Pawn,38.36753731,7.608173077
Pawn,38.45149254,7.608173077
Pawn,38.53544776,7.644230769
Pawn,38.61940299,7.644230769
Pawn,38.70335821,7.644230769
Pawn,38.78731343,7.644230769
Pawn,38.87126866,7.644230769
Pawn,38.95522388,7.644230769
Pawn,39.0391791,7.644230769
Pawn,39.12313433,7.608173077
Pawn,39.20708955,7.608173077
Pawn,39.29104478,7.608173077
Pawn,39.375,7.608173077
Pawn,39.45895522,7.608173077
Pawn,39.54291045,7.608173077
Pawn,39.62686567,7.572115385
Pawn,39.7108209,7.536057692
Pawn,39.79477612,7.536057692
Pawn,39.87873134,7.5
Pawn,39.96268657,7.5
Pawn,40.04664179,7.463942308
Pawn,40.13059701,7.463942308
Pawn,40.21455224,7.427884615
Pawn,40.29850746,7.391826923
Pawn,40.38246269,7.391826923
Pawn,40.46641791,7.355769231
Pawn,40.55037313,7.319711538
Pawn,40.63432836,7.283653846
Pawn,40.71828358,7.247596154
Pawn,40.80223881,7.211538462
Pawn,40.88619403,7.175480769
Pawn,40.97014925,7.175480769
Pawn,41.05410448,7.103365385
Pawn,41.1380597,7.067307692
Pawn,41.22201493,7.03125
Pawn,41.30597015,6.959134615
Pawn,41.38992537,6.923076923
Pawn,41.4738806,6.887019231
Pawn,41.55783582,6.814903846
Pawn,41.64179104,6.778846154
Pawn,41.72574627,6.742788462
Pawn,41.80970149,6.670673077
Pawn,41.89365672,6.598557692
Pawn,41.97761194,6.5625
Pawn,42.06156716,6.490384615
Pawn,42.14552239,6.418269231
Pawn,42.22947761,6.382211538
Pawn,42.31343284,6.310096154
Pawn,42.39738806,6.237980769
Pawn,42.48134328,6.129807692
Pawn,42.56529851,6.057692308
Pawn,42.64925373,5.949519231
Pawn,42.73320896,5.877403846
Pawn,42.81716418,5.769230769
Pawn,42.9011194,5.697115385
Pawn,42.98507463,5.588942308
Pawn,43.06902985,5.516826923
Pawn,43.15298507,5.408653846
Pawn,43.2369403,5.300480769
Pawn,43.32089552,5.228365385
Pawn,43.40485075,5.15625
Pawn,43.48880597,5.048076923
Pawn,43.57276119,4.903846154
Pawn,43.65671642,4.759615385
Pawn,43.74067164,4.615384615
Pawn,43.82462687,4.435096154
Pawn,43.90858209,4.290865385
Pawn,43.99253731,4.146634615
Pawn,44.07649254,4.002403846
Pawn,44.16044776,3.858173077
Pawn,44.24440299,3.713942308
Pawn,44.32835821,3.569711538
Pawn,44.41231343,3.317307692
Pawn,44.49626866,3.064903846
Pawn,44.58022388,2.776442308
Pawn,44.6641791,2.524038462
Pawn,44.74813433,2.235576923
Pawn,44.83208955,1.983173077
Pawn,44.91604478,1.478365385
Pawn,45,0.612980769
Bishop,23.04635762,7.678571429
Bishop,23.14569536,7.642857143
Bishop,23.24503311,7.571428571
Bishop,23.34437086,7.535714286
Bishop,23.44370861,7.5
Bishop,23.54304636,7.428571429
Bishop,23.64238411,7.392857143
Bishop,23.74172185,7.357142857
Bishop,23.8410596,7.285714286
Bishop,23.94039735,7.25
Bishop,24.0397351,7.214285714
Bishop,24.13907285,7.142857143
Bishop,24.2384106,7.107142857
Bishop,24.33774834,7.071428571
Bishop,24.43708609,7
Bishop,24.53642384,6.964285714
Bishop,24.63576159,6.928571429
Bishop,24.73509934,6.857142857
Bishop,24.83443709,6.821428571
Bishop,24.93377483,6.785714286
Bishop,25.03311258,6.714285714
Bishop,25.13245033,6.678571429
Bishop,25.23178808,6.642857143
Bishop,25.33112583,6.607142857
Bishop,25.43046358,6.535714286
Bishop,25.52980132,6.5
Bishop,25.62913907,6.464285714
Bishop,25.72847682,6.392857143
Bishop,25.82781457,6.357142857
Bishop,25.92715232,6.321428571
Bishop,26.02649007,6.25
Bishop,26.12582781,6.214285714
Bishop,26.22516556,6.178571429
Bishop,26.32450331,6.142857143
Bishop,26.42384106,6.071428571
Bishop,26.52317881,6.035714286
Bishop,26.62251656,6
Bishop,26.7218543,5.928571429
Bishop,26.82119205,5.892857143
Bishop,26.9205298,5.857142857
Bishop,27.01986755,5.821428571
Bishop,27.1192053,5.785714286
Bishop,27.21854305,5.75
Bishop,27.31788079,5.714285714
Bishop,27.41721854,5.714285714
Bishop,27.51655629,5.678571429
Bishop,27.61589404,5.642857143
Bishop,27.71523179,5.607142857
Bishop,27.81456954,5.571428571
Bishop,27.91390728,5.571428571
Bishop,28.01324503,5.535714286
Bishop,28.11258278,5.5
Bishop,28.21192053,5.464285714
Bishop,28.31125828,5.428571429
Bishop,28.41059603,5.428571429
Bishop,28.50993377,5.392857143
Bishop,28.60927152,5.357142857
Bishop,28.70860927,5.321428571
Bishop,28.80794702,5.285714286
Bishop,28.90728477,5.285714286
Bishop,29.00662252,5.25
Bishop,29.10596026,5.214285714
Bishop,29.20529801,5.178571429
Bishop,29.30463576,5.178571429
Bishop,29.40397351,5.142857143
Bishop,29.50331126,5.107142857
Bishop,29.60264901,5.071428571
Bishop,29.70198675,5.035714286
Bishop,29.8013245,5.035714286
Bishop,29.90066225,5
Bishop,30,4.964285714
Bishop,30.09933775,4.928571429
Bishop,30.1986755,4.928571429
Bishop,30.29801325,4.892857143
Bishop,30.39735099,4.857142857
Bishop,30.49668874,4.821428571
Bishop,30.59602649,4.785714286
Bishop,30.69536424,4.785714286
Bishop,30.79470199,4.75
Bishop,30.89403974,4.714285714
Bishop,30.99337748,4.678571429
Bishop,31.09271523,4.642857143
Bishop,31.19205298,4.642857143
Bishop,31.29139073,4.607142857
Bishop,31.39072848,4.607142857
Bishop,31.49006623,4.571428571
Bishop,31.58940397,4.571428571
Bishop,31.68874172,4.535714286
Bishop,31.78807947,4.535714286
Bishop,31.88741722,4.5
Bishop,31.98675497,4.5
Bishop,32.08609272,4.5
Bishop,32.18543046,4.464285714
Bishop,32.28476821,4.428571429
Bishop,32.38410596,4.428571429
Bishop,32.48344371,4.428571429
Bishop,32.58278146,4.392857143
Bishop,32.68211921,4.392857143
Bishop,32.78145695,4.357142857
Bishop,32.8807947,4.357142857
Bishop,32.98013245,4.321428571
Bishop,33.0794702,4.321428571
Bishop,33.17880795,4.285714286
Bishop,33.2781457,4.285714286
Bishop,33.37748344,4.25
Bishop,33.47682119,4.25
Bishop,33.57615894,4.214285714
Bishop,33.67549669,4.214285714
Bishop,33.77483444,4.214285714
Bishop,33.87417219,4.178571429
Bishop,33.97350993,4.142857143
Bishop,34.07284768,4.142857143
Bishop,34.17218543,4.142857143
Bishop,34.27152318,4.107142857
Bishop,34.37086093,4.107142857
Bishop,34.47019868,4.071428571
Bishop,34.56953642,4.071428571
Bishop,34.66887417,4.035714286
Bishop,34.76821192,4.035714286
Bishop,34.86754967,4
Bishop,34.96688742,4
Bishop,35.06622517,3.964285714
Bishop,35.16556291,3.964285714
Bishop,35.26490066,3.928571429
Bishop,35.36423841,3.928571429
Bishop,35.46357616,3.928571429
Bishop,35.56291391,3.892857143
Bishop,35.66225166,3.892857143
Bishop,35.7615894,3.892857143
Bishop,35.86092715,3.892857143
Bishop,35.9602649,3.892857143
Bishop,36.05960265,3.857142857
Bishop,36.1589404,3.857142857
Bishop,36.25827815,3.857142857
Bishop,36.35761589,3.857142857
Bishop,36.45695364,3.857142857
Bishop,36.55629139,3.857142857
Bishop,36.65562914,3.857142857
Bishop,36.75496689,3.821428571
Bishop,36.85430464,3.821428571
Bishop,36.95364238,3.821428571
Bishop,37.05298013,3.821428571
Bishop,37.15231788,3.821428571
Bishop,37.25165563,3.785714286
Bishop,37.35099338,3.785714286
Bishop,37.45033113,3.785714286
Bishop,37.54966887,3.785714286
Bishop,37.64900662,3.785714286
Bishop,37.74834437,3.785714286
Bishop,37.84768212,3.785714286
Bishop,37.94701987,3.75
Bishop,38.04635762,3.75
Bishop,38.14569536,3.75
Bishop,38.24503311,3.75
Bishop,38.34437086,3.75
Bishop,38.44370861,3.75
Bishop,38.54304636,3.714285714
Bishop,38.64238411,3.714285714
Bishop,38.74172185,3.714285714
Bishop,38.8410596,3.714285714
Bishop,38.94039735,3.714285714
Bishop,39.0397351,3.714285714
Bishop,39.13907285,3.714285714
Bishop,39.2384106,3.678571429
Bishop,39.33774834,3.678571429
Bishop,39.43708609,3.678571429
Bishop,39.53642384,3.678571429
Bishop,39.63576159,3.678571429
Bishop,39.73509934,3.642857143
Bishop,39.83443709,3.642857143
Bishop,39.93377483,3.642857143
Bishop,40.03311258,3.642857143
Bishop,40.13245033,3.678571429
Bishop,40.23178808,3.678571429
Bishop,40.33112583,3.678571429
Bishop,40.43046358,3.678571429
Bishop,40.52980132,3.678571429
Bishop,40.62913907,3.678571429
Bishop,40.72847682,3.714285714
Bishop,40.82781457,3.714285714
Bishop,40.92715232,3.714285714
Bishop,41.02649007,3.714285714
Bishop,41.12582781,3.714285714
Bishop,41.22516556,3.714285714
Bishop,41.32450331,3.714285714
Bishop,41.42384106,3.714285714
Bishop,41.52317881,3.75
Bishop,41.62251656,3.75
Bishop,41.7218543,3.75
